user,sha,files_changed,core_files,additions,deletions,total_changes
tiangolo,c75f17d483bfc6f79cc94d1d6acfc6b080005eff,2,0,3,1,4
tiangolo,241ca9a533590f16fe2e3ecebd79054d4925c521,1,0,2,1,3
github-actions[bot],3f75f512555b66988e169384c95da3b458352063,1,0,4,0,4
tiangolo,1c4fc96c917a1097149b6e1ff8e36a62f8d994b1,142,0,939,1038,1977
github-actions[bot],7f9709d75ebb1aa1316553f8273a10bc2c8b23ab,1,0,4,0,4
tiangolo,84668c2acc3bd3443556d5ba98af674505e1d84b,1,0,1,2,3
github-actions[bot],e0fd79139e40e873672544a31e0c3727602deeb1,1,0,4,0,4
tiangolo,ed97d9dc0c23651eaef1181ac530a6992f5059c2,300,0,1266,6546,7812
github-actions[bot],99ef3833981c55e34c8aee28124991224189d895,1,0,1,0,1
tiangolo,56a549b4d56c970acdcfcd6cb62ce2fd28810871,2,0,82,0,82
github-actions[bot],330f0ba571d279771f9a087b6a36e94e9a15c75c,1,0,1,0,1
YuriiMotov,06273e48c8d8f4aaf213950261438de54c6c759a,1,0,1,1,2
github-actions[bot],a2997a8f7dd9faaf528c9397cae41d59d0af526c,1,0,1,0,1
YuriiMotov,ed5c5bef5e085260473c8a46c3ab92ebd17aacfd,2,0,12,16,28
github-actions[bot],493ff37fc0d5e2c0157988174cd7a3a708208f97,1,0,1,0,1
tiangolo,1a1c29e57d98d3989ba8aad5578c2d0ae78bdc9c,1,0,128,0,128
github-actions[bot],e32eed7599f623680e3fbda543692875651a5a9f,1,0,1,0,1
YuriiMotov,6400e5ee291408e45defb9c50eb1c747c390c565,4,0,13,13,26
github-actions[bot],d68892ab02c1faede898ba055eb53c4c5f0a19da,1,0,1,0,1
YuriiMotov,6a8a2d62c4b482c21f9b461f0ac698bf7418f81e,26,0,322,321,643
github-actions[bot],e675b25c601d31921c806bf67a41854101eb84ff,1,0,1,0,1
nilslindemann,353b8b29faf5dc0664c7c8ec736d2e5ee6d651d1,2,0,4,4,8
github-actions[bot],272204c0c77c18723230f6204cab50239faedc16,1,0,1,0,1
tiangolo,818ce0fa2f93f9001c7258616444243e09dacde3,14,0,0,3074,3074
github-actions[bot],ed20bf6bf3a9ad8d7e93f02578ea24d20b52fca7,1,0,1,0,1
tiangolo,58bc4a15ac46abffcb0aea1481996337cd5a58e3,12,0,2,2244,2246
github-actions[bot],9be5063396e674df74165e0a990259bf30753746,1,0,1,0,1
tiangolo,4a6a87674ae049935d73f800768891bba8ed50c9,93,0,0,14840,14840
github-actions[bot],01bb87275b603957ac24a03b94d4716629ad7d20,1,0,1,0,1
tiangolo,9a035035429b9bbfac65486a39baef81075ba396,22,0,246,209,455
github-actions[bot],e5d0e78bd4ea503f11bee322ae6f98adb7b24807,1,0,1,0,1
tiangolo,c4fb93f9c2a3ce3505314cbcba06166d58e7e20c,1,0,0,4,4
github-actions[bot],98bee09a6a8c3b834a8a6d5223e4126307ef2048,1,0,1,0,1
tiangolo,c68dc2d4190ebc5b9a820310dbfdde41437443ac,1,0,1,1,2
github-actions[bot],ec287a329b172780f8b87641d9a913d57df354ca,1,0,1,0,1
tiangolo,c0e4b9cd679d70adda60940527ffd13ffac28fff,1,0,1,4,5
github-actions[bot],c98485514c6691ba24d8ce5fd15e26de195a6f71,1,0,1,0,1
tiangolo,6281f8721a443b47e61128b8536412bb4353b6b2,1,0,17,21,38
github-actions[bot],75ad0a0f8c01f5df7f3760e096215d12225ce967,1,0,1,0,1
tiangolo,da83d795464f479885c68029fb6233a79bc6df05,89,0,1714,1491,3205
github-actions[bot],f43cba7e7848cbae194e0a4f50b92f48b4b1a88b,1,0,1,0,1
tiangolo,cbbb11f4dfa8b65494986b0891808f72c9f29ec4,4,0,718,0,718
github-actions[bot],532ba725a5c9861623ced98a836d042f3bcc19cf,1,0,1,0,1
tiangolo,886b367a8c8df26c722c901cac5372a0a798fd82,1,0,5,0,5
github-actions[bot],41d1b84bd509b58ef8b567fce48b7c4d430a2555,1,0,1,0,1
tiangolo,5da1cb07927575ca3fa036f82fd220ca84510106,1,0,1,1,2
github-actions[bot],f9397e93b5c2e11cc56591f5bcc7e560e9aa1ada,1,0,1,0,1
tiangolo,2e7aaea52483dbc5af3c61b6b6ec146e2a7efc01,2,0,103,6,109
github-actions[bot],4414cd849d6537bae5a99f112c35d2e779a7dfbc,1,0,1,0,1
